path	duration	peak	rms
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactWood_medium_001.mp3	0.418	0.8493	0.0636
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactWood_medium_002.mp3	0.418	0.8356	0.0627
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactWood_medium_003.mp3	0.418	0.8435	0.0618
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactWood_medium_004.mp3	0.418	0.8338	0.0661
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/back_001.mp3	0.131	0.5825	0.0383
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/back_002.mp3	0.157	0.6071	0.0719
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/back_003.mp3	0.157	0.6427	0.0517
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/back_004.mp3	0.157	0.6005	0.0667
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/bong_001.mp3	0.209	0.6104	0.0794
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/click_001.mp3	0.183	0.5434	0.0231
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/click_002.mp3	0.078	0.6048	0.0384
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/click_003.mp3	0.078	0.5524	0.0352
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/click_004.mp3	0.078	0.5922	0.0381
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/click_005.mp3	0.078	0.5883	0.0538
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/close_001.mp3	0.209	0.5266	0.0900
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/close_002.mp3	0.392	0.4091	0.0835
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/close_003.mp3	0.392	0.5759	0.0923
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/close_004.mp3	0.392	0.5130	0.0654
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/confirmation_001.mp3	0.366	0.6066	0.1636
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/confirmation_002.mp3	0.627	0.5797	0.1105
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/confirmation_003.mp3	0.392	0.6574	0.1058
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/confirmation_004.mp3	0.575	0.6033	0.1603
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/drop_001.mp3	0.209	0.8722	0.0658
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/drop_002.mp3	0.261	0.8817	0.0825
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/drop_003.mp3	0.261	0.8453	0.0846
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/drop_004.mp3	0.366	0.8594	0.0755
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/error_001.mp3	0.235	0.8201	0.0846
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/error_002.mp3	0.235	0.8926	0.0986
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/error_003.mp3	0.627	0.9307	0.0843
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/error_004.mp3	0.157	0.8049	0.1173
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/error_005.mp3	0.575	0.6013	0.0728
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/error_006.mp3	0.575	0.6014	0.0792
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/error_007.mp3	0.261	0.6542	0.1277
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/error_008.mp3	0.209	0.6025	0.0516
